file,profile_index,latitude,longitude,date_time,pressure_mean,temperature_mean,salinity_mean
20240305_prof.nc,0,-1.264,78.88,2024-03-05 23:37:52,820.7828369140625,11.34912109375,34.876708984375
20240305_prof.nc,1,-47.3918,86.58984,2024-03-05 23:09:59,1002.0382080078125,4.624290943145752,34.47785186767578
20240305_prof.nc,2,-25.33376,55.40526,2024-03-05 22:46:33,1591.6956787109375,6.864927768707275,34.7943229675293
20240305_prof.nc,3,-34.23113250732422,49.41838455200195,2024-03-05 22:45:54,997.0008544921875,8.31072998046875,34.83452224731445
20240305_prof.nc,4,-49.28310166666667,56.68237166666667,2024-03-05 22:42:20,1005.5144653320312,2.647294044494629,34.52191925048828
20240305_prof.nc,5,-66.09646606445312,107.68000030517578,2024-03-05 22:29:23,338.9984130859375,-1.836509346961975,34.42039108276367
20240305_prof.nc,6,-25.33364,55.40526,2024-03-05 22:26:08,1009.7893676757812,12.027958869934082,35.06993103027344
20240305_prof.nc,7,-40.3852,126.8368,2024-03-05 21:45:49,950.0599365234375,6.374117374420166,34.59629821777344
20240305_prof.nc,8,-55.61196,63.73557,2024-03-05 20:57:05,999.0408935546875,2.1260011196136475,34.54448318481445
20240305_prof.nc,9,-65.0807291,122.6614097,2024-03-05 20:21:35,739.8381958007812,-0.23062239587306976,34.53883743286133
20240305_prof.nc,10,-41.953,79.454,2024-03-05 20:14:38,503.4010314941406,10.348511695861816,34.82416534423828
20240305_prof.nc,11,-31.5078,113.8436,2024-03-05 19:47:55,500.21142578125,10.505805969238281,34.875858306884766
20240305_prof.nc,12,1.8551,53.1224,2024-03-05 19:02:03,856.2191772460938,9.557119369506836,30.271677017211914
20240305_prof.nc,13,-15.6957,53.1819,2024-03-05 18:35:33,855.2351684570312,9.158679008483887,34.816097259521484
20240305_prof.nc,14,-21.578,80.556,2024-03-05 18:32:44,533.4354858398438,12.735013008117676,34.99508285522461
20240305_prof.nc,15,-18.33711,95.7913,2024-03-05 18:15:55,999.0634765625,7.8556036949157715,34.78917694091797
20240305_prof.nc,16,-48.14994812011719,75.13703155517578,2024-03-05 17:28:40,999.9992065429688,2.6047635078430176,34.48842239379883
20240305_prof.nc,17,-43.8201,141.4194,2024-03-05 17:22:12,1005.0000610351562,5.933313369750977,34.617000579833984
20240305_prof.nc,18,-13.869,102.481,2024-03-05 16:54:59,533.4481201171875,10.89638900756836,34.79397201538086
20240305_prof.nc,19,-5.4926,73.3902,2024-03-05 16:45:46,1002.0012817382812,7.766762733459473,34.816307067871094
20240305_prof.nc,20,-35.16295,111.507,2024-03-05 16:36:15,1000.0643310546875,6.62388801574707,34.674686431884766
20240305_prof.nc,21,-22.5843,92.6978,2024-03-05 14:45:06,991.000244140625,8.31274127960205,34.82572555541992
20240305_prof.nc,22,-42.8489,35.1653,2024-03-05 14:29:26,1000.0004272460938,4.611302375793457,34.505035400390625
20240305_prof.nc,23,-2.8166666666666664,76.35,2024-03-05 14:09:07,796.9166870117188,11.664667129516602,34.810001373291016
20240305_prof.nc,24,9.966666666666667,68.38333333333334,2024-03-05 13:55:55,816.5264282226562,12.60686206817627,35.221683502197266
